cine,pelicula,fecha,hora,formato,idioma,duracion_min,clasificacion,poster,link_compra,sinopsis,trailer,generos,credito
Cinépolis Arauco Maipú,La Guerra de los Últimos,2026-09-01,16:25,2D,doblada,100,14,https://tickets-static-content.cinepolis.com/pimcore/20625/assets/Chile/Tickets/Movies/LaGuerraDeLosUltimos/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"DRAMA, CIENCIA FICCIÓN",
Cinépolis Arauco Maipú,Papi Ricky: La película,2026-09-01,16:50,2D,,93,TE7,https://tickets-static-content.cinepolis.com/pimcore/21450/assets/Chile/Tickets/Movies/PapiRickyLaPelicula/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,COMEDIA,
Cinépolis Arauco Maipú,El Final De La Calle Oak,2026-09-01,17:00,2D,doblada,100,14,https://tickets-static-content.cinepolis.com/pimcore/20089/assets/Chile/Tickets/Movies/ElFinalDeLaCalleOak_copy/Es/P_720X1022_5_copy/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"AVENTURA, CIENCIA FICCIÓN",
Cinépolis Arauco Maipú,Harry Potter y la piedra filosofal,2026-09-01,17:30,4DX,doblada,166,TE7,https://tickets-static-content.cinepolis.com/pimcore/21310/assets/Chile/Tickets/Movies/HarryPotterPiedraFilosofal/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"AVENTURA, FANTASÍA",
Cinépolis Arauco Maipú,La Guerra de los Últimos,2026-09-01,17:45,2D,doblada,100,14,https://tickets-static-content.cinepolis.com/pimcore/20625/assets/Chile/Tickets/Movies/LaGuerraDeLosUltimos/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"DRAMA, CIENCIA FICCIÓN",
Cinépolis Arauco Maipú,La noche del demonio: Están entre nosotros,2026-09-01,18:05,2D,doblada,105,14,https://tickets-static-content.cinepolis.com/pimcore/19801/assets/Chile/Tickets/Movies/LaNocheDelDemonioEstaEntreNosotros/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,TERROR,
Cinépolis Arauco Maipú,Coyote vs ACME,2026-09-01,18:10,2D,doblada,105,TE7,https://tickets-static-content.cinepolis.com/pimcore/19803/assets/Chile/Tickets/Movies/CoyoteVSAcme/Es/720x1022_24/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"COMEDIA, ANIMACIÓN, AVENTURA",
Cinépolis Arauco Maipú,Spider-Man: Un Nuevo Día,2026-09-01,18:30,2D,doblada,144,TE7,https://tickets-static-content.cinepolis.com/pimcore/19604/assets/Chile/Tickets/Movies/SpiderManUnNuevoDia_copy/Es/SMBND_720x1022_2/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"AVENTURA, ACCIÓN",
Cinépolis Arauco Maipú,Harry Potter y la piedra filosofal,2026-09-01,19:00,2D,doblada,166,TE7,https://tickets-static-content.cinepolis.com/pimcore/21310/assets/Chile/Tickets/Movies/HarryPotterPiedraFilosofal/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"AVENTURA, FANTASÍA",
Cinépolis Arauco Maipú,Spider-Man: Un Nuevo Día,2026-09-01,19:10,2D,doblada,144,TE7,https://tickets-static-content.cinepolis.com/pimcore/19604/assets/Chile/Tickets/Movies/SpiderManUnNuevoDia_copy/Es/SMBND_720x1022_2/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"AVENTURA, ACCIÓN",
Cinépolis Arauco Maipú,La Odisea,2026-09-01,19:15,2D,subtitulada,172,14,https://tickets-static-content.cinepolis.com/pimcore/18518/assets/Chile/Tickets/Movies/LaOdisea/Es/720x1022_poster_La_odisea_copia_2__1/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,ACCIÓN,
Cinépolis Arauco Maipú,Papi Ricky: La película,2026-09-01,19:25,2D,,93,TE7,https://tickets-static-content.cinepolis.com/pimcore/21450/assets/Chile/Tickets/Movies/PapiRickyLaPelicula/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,COMEDIA,
Cinépolis Arauco Maipú,La noche del demonio: Están entre nosotros,2026-09-01,20:20,2D,doblada,105,14,https://tickets-static-content.cinepolis.com/pimcore/19801/assets/Chile/Tickets/Movies/LaNocheDelDemonioEstaEntreNosotros/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,TERROR,
Cinépolis Arauco Maipú,Coyote vs ACME,2026-09-01,20:30,2D,doblada,105,TE7,https://tickets-static-content.cinepolis.com/pimcore/19803/assets/Chile/Tickets/Movies/CoyoteVSAcme/Es/720x1022_24/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"COMEDIA, ANIMACIÓN, AVENTURA",
Cinépolis Arauco Maipú,La Guerra de los Últimos,2026-09-01,20:45,2D,subtitulada,100,14,https://tickets-static-content.cinepolis.com/pimcore/20625/assets/Chile/Tickets/Movies/LaGuerraDeLosUltimos/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"DRAMA, CIENCIA FICCIÓN",
Cinépolis Arauco Maipú,Spider-Man: Un Nuevo Día,2026-09-01,21:00,4DX,doblada,144,TE7,https://tickets-static-content.cinepolis.com/pimcore/19604/assets/Chile/Tickets/Movies/SpiderManUnNuevoDia_copy/Es/SMBND_720x1022_2/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"AVENTURA, ACCIÓN",
Cinépolis Arauco Maipú,Spider-Man: Un Nuevo Día,2026-09-01,21:30,2D,doblada,144,TE7,https://tickets-static-content.cinepolis.com/pimcore/19604/assets/Chile/Tickets/Movies/SpiderManUnNuevoDia_copy/Es/SMBND_720x1022_2/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"AVENTURA, ACCIÓN",
Cinépolis Arauco Maipú,Papi Ricky: La película,2026-09-01,21:40,2D,,93,TE7,https://tickets-static-content.cinepolis.com/pimcore/21450/assets/Chile/Tickets/Movies/PapiRickyLaPelicula/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,COMEDIA,
Cinépolis Arauco Maipú,Spider-Man: Un Nuevo Día,2026-09-01,22:10,2D,doblada,144,TE7,https://tickets-static-content.cinepolis.com/pimcore/19604/assets/Chile/Tickets/Movies/SpiderManUnNuevoDia_copy/Es/SMBND_720x1022_2/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"AVENTURA, ACCIÓN",
Cinépolis Arauco Maipú,Sagrado corazón,2026-09-01,22:20,2D,doblada,92,TE7,https://tickets-static-content.cinepolis.com/pimcore/21449/assets/Chile/Tickets/Movies/SagradoCorazon/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"DOCUMENTAL, CIENCIA FICCIÓN",
Cinépolis Arauco Maipú,La noche del demonio: Están entre nosotros,2026-09-01,22:35,2D,doblada,105,14,https://tickets-static-content.cinepolis.com/pimcore/19801/assets/Chile/Tickets/Movies/LaNocheDelDemonioEstaEntreNosotros/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,TERROR,
Cinépolis Arauco Maipú,El Final De La Calle Oak,2026-09-01,22:45,2D,doblada,100,14,https://tickets-static-content.cinepolis.com/pimcore/20089/assets/Chile/Tickets/Movies/ElFinalDeLaCalleOak_copy/Es/P_720X1022_5_copy/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"AVENTURA, CIENCIA FICCIÓN",
Cinépolis Arauco Maipú,Coyote vs ACME,2026-09-02,11:00,2D,doblada,105,TE7,https://tickets-static-content.cinepolis.com/pimcore/19803/assets/Chile/Tickets/Movies/CoyoteVSAcme/Es/720x1022_24/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"COMEDIA, ANIMACIÓN, AVENTURA",
Cinépolis Arauco Maipú,Spider-Man: Un Nuevo Día,2026-09-02,11:10,4DX,doblada,144,TE7,https://tickets-static-content.cinepolis.com/pimcore/19604/assets/Chile/Tickets/Movies/SpiderManUnNuevoDia_copy/Es/SMBND_720x1022_2/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"AVENTURA, ACCIÓN",
Cinépolis Arauco Maipú,Mi vecino Totoro,2026-09-02,11:20,2D,doblada,87,TE,https://tickets-static-content.cinepolis.com/pimcore/20415/assets/Chile/Tickets/Movies/MiVecinoTotoro/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"ANIMACIÓN, AVENTURA, FANTASÍA",
Cinépolis Arauco Maipú,PAW Patrol: La Dino Película,2026-09-02,11:30,2D,doblada,88,TE,https://tickets-static-content.cinepolis.com/pimcore/20418/assets/Chile/Tickets/Movies/PAWPatrolLaDinoPelicula_copy/Es/PP3_Desktop_Poster_720x1022_2/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,ANIMACIÓN,
Cinépolis Arauco Maipú,Spider-Man: Un Nuevo Día,2026-09-02,11:40,2D,doblada,144,TE7,https://tickets-static-content.cinepolis.com/pimcore/19604/assets/Chile/Tickets/Movies/SpiderManUnNuevoDia_copy/Es/SMBND_720x1022_2/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"AVENTURA, ACCIÓN",
Cinépolis Arauco Maipú,Papi Ricky: La película,2026-09-02,12:00,2D,,93,TE7,https://tickets-static-content.cinepolis.com/pimcore/21450/assets/Chile/Tickets/Movies/PapiRickyLaPelicula/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,COMEDIA,
Cinépolis Arauco Maipú,Coyote vs ACME,2026-09-02,12:10,2D,doblada,105,TE7,https://tickets-static-content.cinepolis.com/pimcore/19803/assets/Chile/Tickets/Movies/CoyoteVSAcme/Es/720x1022_24/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"COMEDIA, ANIMACIÓN, AVENTURA",
Cinépolis Arauco Maipú,Spider-Man: Un Nuevo Día,2026-09-02,12:20,2D,doblada,144,TE7,https://tickets-static-content.cinepolis.com/pimcore/19604/assets/Chile/Tickets/Movies/SpiderManUnNuevoDia_copy/Es/SMBND_720x1022_2/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"AVENTURA, ACCIÓN",
Cinépolis Arauco Maipú,Coyote vs ACME,2026-09-02,13:20,2D,doblada,105,TE7,https://tickets-static-content.cinepolis.com/pimcore/19803/assets/Chile/Tickets/Movies/CoyoteVSAcme/Es/720x1022_24/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"COMEDIA, ANIMACIÓN, AVENTURA",
Cinépolis Arauco Maipú,La Odisea,2026-09-02,13:30,2D,doblada,172,14,https://tickets-static-content.cinepolis.com/pimcore/18518/assets/Chile/Tickets/Movies/LaOdisea/Es/720x1022_poster_La_odisea_copia_2__1/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,ACCIÓN,
Cinépolis Arauco Maipú,PAW Patrol: La Dino Película,2026-09-02,13:40,2D,doblada,88,TE,https://tickets-static-content.cinepolis.com/pimcore/20418/assets/Chile/Tickets/Movies/PAWPatrolLaDinoPelicula_copy/Es/PP3_Desktop_Poster_720x1022_2/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,ANIMACIÓN,
Cinépolis Arauco Maipú,Papi Ricky: La película,2026-09-02,13:50,2D,,93,TE7,https://tickets-static-content.cinepolis.com/pimcore/21450/assets/Chile/Tickets/Movies/PapiRickyLaPelicula/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,COMEDIA,
Cinépolis Arauco Maipú,Harry Potter y la piedra filosofal,2026-09-02,14:10,4DX,doblada,166,TE7,https://tickets-static-content.cinepolis.com/pimcore/21310/assets/Chile/Tickets/Movies/HarryPotterPiedraFilosofal/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"AVENTURA, FANTASÍA",
Cinépolis Arauco Maipú,Minions & Monstruos,2026-09-02,14:20,2D,doblada,90,TE,https://tickets-static-content.cinepolis.com/pimcore/18773/assets/Chile/Tickets/Movies/MinionsYMonsters/Es/minons_720x1022/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,ANIMACIÓN,
Cinépolis Arauco Maipú,Papi Ricky: La película,2026-09-02,14:30,2D,,93,TE7,https://tickets-static-content.cinepolis.com/pimcore/21450/assets/Chile/Tickets/Movies/PapiRickyLaPelicula/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,COMEDIA,
Cinépolis Arauco Maipú,Spider-Man: Un Nuevo Día,2026-09-02,14:40,2D,doblada,144,TE7,https://tickets-static-content.cinepolis.com/pimcore/19604/assets/Chile/Tickets/Movies/SpiderManUnNuevoDia_copy/Es/SMBND_720x1022_2/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"AVENTURA, ACCIÓN",
Cinépolis Arauco Maipú,Spider-Man: Un Nuevo Día,2026-09-02,15:20,2D,doblada,144,TE7,https://tickets-static-content.cinepolis.com/pimcore/19604/assets/Chile/Tickets/Movies/SpiderManUnNuevoDia_copy/Es/SMBND_720x1022_2/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"AVENTURA, ACCIÓN",
Cinépolis Arauco Maipú,La noche del demonio: Están entre nosotros,2026-09-02,15:40,2D,doblada,105,14,https://tickets-static-content.cinepolis.com/pimcore/19801/assets/Chile/Tickets/Movies/LaNocheDelDemonioEstaEntreNosotros/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,TERROR,
Cinépolis Arauco Maipú,Coyote vs ACME,2026-09-02,15:50,2D,doblada,105,TE7,https://tickets-static-content.cinepolis.com/pimcore/19803/assets/Chile/Tickets/Movies/CoyoteVSAcme/Es/720x1022_24/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"COMEDIA, ANIMACIÓN, AVENTURA",
Cinépolis Arauco Maipú,Spider-Man: Un Nuevo Día,2026-09-02,16:10,2D,doblada,144,TE7,https://tickets-static-content.cinepolis.com/pimcore/19604/assets/Chile/Tickets/Movies/SpiderManUnNuevoDia_copy/Es/SMBND_720x1022_2/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"AVENTURA, ACCIÓN",
Cinépolis Arauco Maipú,La Guerra de los Últimos,2026-09-02,16:25,2D,doblada,100,14,https://tickets-static-content.cinepolis.com/pimcore/20625/assets/Chile/Tickets/Movies/LaGuerraDeLosUltimos/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"DRAMA, CIENCIA FICCIÓN",
Cinépolis Arauco Maipú,Papi Ricky: La película,2026-09-02,16:50,2D,,93,TE7,https://tickets-static-content.cinepolis.com/pimcore/21450/assets/Chile/Tickets/Movies/PapiRickyLaPelicula/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,COMEDIA,
Cinépolis Arauco Maipú,El Final De La Calle Oak,2026-09-02,17:00,2D,doblada,100,14,https://tickets-static-content.cinepolis.com/pimcore/20089/assets/Chile/Tickets/Movies/ElFinalDeLaCalleOak_copy/Es/P_720X1022_5_copy/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"AVENTURA, CIENCIA FICCIÓN",
Cinépolis Arauco Maipú,Harry Potter y la piedra filosofal,2026-09-02,17:30,4DX,doblada,166,TE7,https://tickets-static-content.cinepolis.com/pimcore/21310/assets/Chile/Tickets/Movies/HarryPotterPiedraFilosofal/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"AVENTURA, FANTASÍA",
Cinépolis Arauco Maipú,La Guerra de los Últimos,2026-09-02,17:45,2D,doblada,100,14,https://tickets-static-content.cinepolis.com/pimcore/20625/assets/Chile/Tickets/Movies/LaGuerraDeLosUltimos/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"DRAMA, CIENCIA FICCIÓN",
Cinépolis Arauco Maipú,La noche del demonio: Están entre nosotros,2026-09-02,18:05,2D,doblada,105,14,https://tickets-static-content.cinepolis.com/pimcore/19801/assets/Chile/Tickets/Movies/LaNocheDelDemonioEstaEntreNosotros/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,TERROR,
Cinépolis Arauco Maipú,Coyote vs ACME,2026-09-02,18:10,2D,doblada,105,TE7,https://tickets-static-content.cinepolis.com/pimcore/19803/assets/Chile/Tickets/Movies/CoyoteVSAcme/Es/720x1022_24/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"COMEDIA, ANIMACIÓN, AVENTURA",
Cinépolis Arauco Maipú,Spider-Man: Un Nuevo Día,2026-09-02,18:30,2D,doblada,144,TE7,https://tickets-static-content.cinepolis.com/pimcore/19604/assets/Chile/Tickets/Movies/SpiderManUnNuevoDia_copy/Es/SMBND_720x1022_2/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"AVENTURA, ACCIÓN",
Cinépolis Arauco Maipú,Harry Potter y la piedra filosofal,2026-09-02,19:00,2D,doblada,166,TE7,https://tickets-static-content.cinepolis.com/pimcore/21310/assets/Chile/Tickets/Movies/HarryPotterPiedraFilosofal/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"AVENTURA, FANTASÍA",
Cinépolis Arauco Maipú,Spider-Man: Un Nuevo Día,2026-09-02,19:10,2D,doblada,144,TE7,https://tickets-static-content.cinepolis.com/pimcore/19604/assets/Chile/Tickets/Movies/SpiderManUnNuevoDia_copy/Es/SMBND_720x1022_2/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,"AVENTURA, ACCIÓN",
Cinépolis Arauco Maipú,La Odisea,2026-09-02,19:15,2D,subtitulada,172,14,https://tickets-static-content.cinepolis.com/pimcore/18518/assets/Chile/Tickets/Movies/LaOdisea/Es/720x1022_poster_La_odisea_copia_2__1/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,ACCIÓN,
Cinépolis Arauco Maipú,Papi Ricky: La película,2026-09-02,19:25,2D,,93,TE7,https://tickets-static-content.cinepolis.com/pimcore/21450/assets/Chile/Tickets/Movies/PapiRickyLaPelicula/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,COMEDIA,
